1. サラーフッディーン（在位：1169年?-?1193年）
ウィリアム2世
アン
グリフィズ・アプ・カナン（1075年?-?1137年）
オーウェン・グウィネズ（1137年 -?1170年）　グリフィズの息子
オーウェン・グウィネズの3子による分割支配
デイヴィッド・アプ・オーウェン（1170年 -?1194年）
カナン・アプ・オーウェン（1170年 -?1174年）
ロドリー・アプ・オーウェン（1170年 - 1194年）
ルウェリン・アプ・ヨーワース（大ルウェリン、1194年 -?1240年）　オーウェンの孫
ダフィズ・アプ・ルウェリン（1240年 -?1246年）　ルウェリンの息子
ルウェリン・アプ・グリフィズ（ルウェリン・ザ・ラスト、1246年 -?1282年）　大ルウェリンの孫
ダフィズ・アプ・グリフィズ（1283年没）　ルウェリン・ザ・ラストの兄弟
ルウェリン・アプ・グリフィズ（1267年公認 -?1282年）
サセックス王アエレ（477年?-?514年）
ウェセックス王チェルディッチ（519年?-?534年）
ウェセックス王チェウリン（560年?-?591年）
ウェセックス王イネ（688年?-?727年）
ケント王エゼルベルト（591年?-?616年）
イーストアングリア王レドワルド（616年 -?627年）
ノーザンブリア王エドウィン（627年 -?632年）
ノーザンブリア王オズワルド（633年?-?641年）
ノーザンブリア王オズウィ（641年 -?670年）
マーシア王エゼルバルド（735年?-?757年）
マーシア王オファ（757年 -?796年）　エゼルバルドの従兄弟
ウェセックス王エグバート（828年?-?839年）
ウェセックス王エゼルウルフ（839年 -?858年）　エグバートの息子
ウェセックス王エゼルバルド（858年 -?860年）　エゼルウルフの息子
ウェセックス王エゼルベルト（860年 -?866年）　エゼルウルフの息子
ウェセックス王エゼルレッド（866年 -?871年）　エゼルウルフの息子
オファ
エグバート
エゼルウルフ
エゼルバルド
エゼルベルト
エゼルレッド
アルフレッド大王
エドワード長兄王
アゼルスタン
エドマンド1世
エドレッド
エドウィ
エドガー
エドワード殉教王
エゼルレッド2世
スヴェン
エゼルレッド2世
エドマンド2世
クヌート大王
ハロルド1世
ハーデクヌーズ
エドワード懺悔王
ハロルド2世
エドガー・アシリング
ウィリアム1世
ウィリアム2世
ヘンリー1世
スティーブン
マティルダ
ヘンリー2世Curtmantle
若ヘンリー王
リチャード1世獅子心王
ジョン欠地王
ヘンリー3世
エドワード1世長脛王
エドワード2世
エドワード3世
リチャード2世
ヘンリー4世
ヘンリー5世
ヘンリー6世
エドワード4世
ヘンリー6世
エドワード4世
エドワード5世
リチャード3世
ヘンリー7世
ヘンリー8世
エドワード6世
ジェーン・グレイ
メアリー1世
フィリップ1世
エリザベス1世
ジェームズ1世
チャールズ1世
オリバー・クロムウェル
リチャード・クロムウェル
チャールズ2世
ジェームズ2世
メアリー2世
ウィリアム3世
アン
ジョージ1世
ジョージ2世
ジョージ3世
ジョージ4世
ウィリアム4世
ヴィクトリア
エドワード7世
ジョージ5世
エドワード8世
ジョージ6世
エリザベス2世
サー・ロバート・ウォルポール
スペンサー・コンプトン
ヘンリー・ペラム
トマス・ペラム＝ホールズ
ウィリアム・キャヴェンディッシュ
トマス・ペラム＝ホールズ
ジョン・ステュアート
ジョージ・グレンヴィル
チャールズ・ワトソン＝ウェントワース
ウィリアム・ピット
オーガスタス・フィッツロイ
フレデリック・ノース
チャールズ・ワトソン＝ウェントワース
ウィリアム・ペティ
ウィリアム・キャヴェンディッシュ＝ベンティンク
ウィリアム・ピット
ヘンリー・アディントン
ウィリアム・ピット
ウィリアム・ウィンダム・グレンヴィル
ウィリアム・キャヴェンディッシュ＝ベンティンク
スペンサー・パーシヴァル
ロバート・バンクス・ジェンキンソン
ジョージ・カニング
フレデリック・ジョン・ロビンソン
アーサー・ウェルズリー
チャールズ・グレイ
ウィリアム・ラム
アーサー・ウェルズリー
サー・ロバート・ピール
ウィリアム・ラム
サー・ロバート・ピール
ジョン・ラッセル
ダービー
エドワード・スミス＝スタンリー
アバディーン
ジョージ・ハミルトン＝ゴードン
パーマストン
ヘンリー・ジョン・テンプル
ダービー
エドワード・スミス＝スタンリー
パーマストン
ヘンリー・ジョン・テンプル
ラッセル
ジョン・ラッセル
ダービー
エドワード・スミス＝スタンリー
ベンジャミン・ディズレーリ
ウィリアム・ユワート・グラッドストン
ビーコンズフィールド
ベンジャミン・ディズレーリ
ウィリアム・ユワート・グラッドストン
ソールズベリー
ロバート・ガスコイン＝セシル
ウィリアム・ユワート・グラッドストン
ソールズベリー
ロバート・ガスコイン＝セシル
ウィリアム・ユワート・グラッドストン
ローズベリー
ソールズベリー
ロバート・ガスコイン＝セシル
アーサー・バルフォア
サー・ヘンリー・キャンベル＝バナマン
ハーバート・ヘンリー・アスキス
ハーバート・ヘンリー・アスキス
デイヴィッド・ロイド・ジョージ
アンドルー・ボナー・ロー
スタンリー・ボールドウィン
ラムゼイ・マクドナルド
スタンリー・ボールドウィン
ラムゼイ・マクドナルド
スタンリー・ボールドウィン
ネヴィル・チェンバレン
ウィンストン・チャーチル
クレメント・アトリー
サー・ウィンストン・チャーチル
サー・アンソニー・イーデン
ハロルド・マクミラン
サー・アレック・ダグラス＝ヒューム
ハロルド・ウィルソン
エドワード・ヒース
ハロルド・ウィルソン
ジェームズ・キャラハン
マーガレット・サッチャー
ジョン・メージャー
トニー・ブレア
ゴードン・ブラウン
デーヴィッド・キャメロン
テリーザ・メイ
ボリス・ジョンソン
ダヴィド・ベン＝グリオン
モシェ・シャレット
ダヴィド・ベン＝グリオン
レヴィ・エシュコル
イーガル・アロン
ゴルダ・メイア
イツハク・ラビン
メナヘム・ベギン
イツハク・シャミル
シモン・ペレス
イツハク・シャミル
イツハク・ラビン
シモン・ペレス
ベンヤミン・ネタニヤフ
エフード・バラック
アリエル・シャロン
エフード・オルメルト
ベンヤミン・ネタニヤフ
オドアクレ
テオドーリコ
アタラーリ
テオダート
ヴィティージェ
イルディバルド
エラーリコ
トーティラ
テーイア
アルボイーノ
クレーフィ
アウタリ
アギルルフォ
アダロアルド
アリオアルド
ロータリ
ロドアルド
アリペルト1世
ベルタリード
ゴデベルト
グリモアルド
ガリバルド
ベルタリード
アライス
クニペルト
リウトペルト
ラジンペルト
アリペルト2世
アンスプランド
リウトプランド
イルデブランド
ラーキス
アストルフォ
デジデーリオ
カルロ・マーニョ
ピピン1世
ベルナルド
ロドヴィコ1世
ロターリオ1世
ロドヴィコ2世
禿頭王カルロ2世
カルロマンノ
肥満王カルロ3世
ベレンガーリオ1世
グイード・ダ・スポレート
ランベルト・ダ・スポレート
アルノルフォ
ラトルド
ベレンガーリオ1世
ランベルト・ダ・スポレート
ルドヴィーコ3世
ロドルフォ2世
ウーゴ・ディ・アルル
ロターリオ2世アルル
ベレンガーリオ2世
アダルベルト2世
オットーネ1世
オットーネ2世
オットーネ3世
アルドゥイーノ1世
エンリーコ2世
コッラード2世
エンリーコ3世
エンリーコ4世
エンリーコ5世
ロターリオ3世
コッラード3世
フェデリーコ1世バルバロッサ
エンリーコ6世
オットーネ4世
フェデリーコ2世
エンリーコ7世
ルイージ4世
カルロ4世
ヴェンチェズラオ
シジズモンド
アルベルト2世
フェデリーコ3世
マッシミリアーノ1世
カルロ5世
フェルディナンド1世
マッシミリアーノ2世
ロドルフォ2世
マッティーア
フェルディナンド2世
フェルディナンド3世
ナポレオーネ1世
ヴィットーリオ・エマヌエーレ2世
ウンベルト1世
ヴィットーリオ・エマヌエーレ3世
ウンベルト2世
ヴィットーリオ・エマヌエーレ・ディ・サヴォイア
ハイメ2世
アルフォンソ4世
ペドロ4世
フアン1世
マルティン1世
フェルナンド1世
アルフォンソ5世
フアン2世
フェルナンド2世
カルロス1世
フェリペ2世
フェリペ3世
フェリペ4世
カルロス2世
フェリペ5世
カール6世
ヴィットーリオ・アメデーオ2世
カルロ・エマヌエーレ3世
ヴィットーリオ・アメデーオ3世
カルロ・エマヌエーレ4世
ヴィットーリオ・エマヌエーレ1世
カルロ・フェリーチェ
カルロ・アルベルト
ヴィットーリオ・エマヌエーレ2世
ボニファーチョ1世（Bonifacio I di Toscana）（812年?-?813年）
ボニファーチョ2世（Bonifacio II di Toscana）（828年?-?834年） - ボニファーチョ1世の子
アガーノ（Agano)（835年?-?845年） - 家系ではない
アダルベルト1世（Adalberto I di Toscana）（847年?-?886年） - ボニファーチョ2世の子
アダルベルト2世（Adalberto II di Toscana）（886年 -?915年） - アダルベルト1世の子
グイード（Guido di Toscana）（915年 -?929年） - アダルベルト2世の子
ランベルト（Lamberto di Toscana）（929年 -?931年） - アダルベルト2世の子
ボゾーネ（931年 -?936年） - イタリア王ウーゴの弟、ランベルトの異父兄
ウベルト（Uberto di Toscana）（936年 -?961年） - イタリア王ウーゴの庶子
"ウーゴ（Ugo di Toscana,?il Grande）（961年 -?1001年） - ウベルトの子"
ボニファーチョ3世（Bonifacio III di Toscana）（1002年?-?1012年） - ボローニャ伯
ラニエーリ・ディ・トスカーナ（Ranieri di Toscana）（1014年?-?1024年） - スポレート公（1010年 - 1020年頃）
ボニファーチョ4世（1027年?-?1052年）
フェデリーコ（Federico di Toscana）（1052年 -?1055年） - ボニファーチオ4世の子
マティルデ（1052年 -?1056年） - ボニファーチオ4世の娘
ベアトリーチェ・ディ・バール（Beatrice di Bar）（1052年 -?1076年） - ボニファーチオ4世の妻でフェデリーコとマティルデの摂政
ゴッフレード1世（1054年?-?1069年） - ベアトリーチェの夫として。ロレーヌ公（3世）、アルデンヌ家
ゴッフレード2世（1069年 - 1076年） - マティルデの夫として。下ロレーヌ公（4世）、アルデンヌ家
マティルデ（復位）（1076年 -?1115年）
グエルフォ（Guelfo）（1089年?-?1095年）- マティルデの夫として。バイエルン公（ヴェルフ2世）、ヴェルフ家
コンラート2世・フォン・シェイエルン＝ダッハウ（Konrad II. von Scheyern-Dachau）（1120年?-?1127年） - メラーノ公（1世）、ヴィッテルスバッハ家
ハインリヒ10世（1135年?-?1139年） - バイエルン公、ザクセン公、ヴェルフ家
ウルリヒ・フォン・アッテムス（Ulrich von Attems）（1139年?-?1152年） - 皇帝代理
ヴェルフ6世（Welf VI.）（1152年?-?1167年） - ハインリヒ10世の弟、1173年まで引き続いて支配、ヴェルフ家
ライナルト・フォン・ダッセル（Rainald von Dassel）（1160年?-?1163年） - 皇帝代理、ケルン大司教（1159年 - 1167年）
クリスティアン1世・フォン・ブーフ（Christian I. von Buch）（1163年?-?1173年） - 皇帝代理、マインツ大司教
フィリッポ・ディ・ズヴェーヴィア（1195年?-?1197年） - 神聖ローマ皇帝、シュタウフェン家
コジモ・デ・メディチ（イル・ヴェッキオ）(Cosimo de'Medici) （1434年 - 1464年）
ピエロ・デ・メディチ（イル・ゴットーソ） (Piero I de'Medici)（1464年 - 1469年）
ロレンツォ・デ・メディチ（イル・マニフィコ）（Lorenzo de'Medici) （1469年 - 1492年）
ピエロ・デ・メディチ（イル・ファトゥオ）(Piero II de'Medici)（1492年 - 1494年）- 市民により追放
ジローラモ・サヴォナローラ?(Girolamo Savonarola) （市政府のメンバーではないが、神権政治を主張して市政府を事実上コントロールした）（1494年 - 1498年） - 失脚・処刑
ピエロ・ソデリーニ?(Pier Soderini) （市政府の長として新設された正義の旗手に就任）（1502年 - 1512年） - メディチ家の復帰により亡命
ジョヴァンニ・デ・メディチ?(Cardinale Giovanni de'Medici) （1512年 - 1513年） - 教皇（レオ10世）に選出されたためローマに移る
ジュリアーノ・デ・メディチ（ヌムール公爵） (Giuliano Duca di Nemours) （1513年 - 1516年）
ロレンツォ・デ・メディチ（ウルビーノ公爵） (Lorenzo Duca di Urbino) （1516年 - 1518年）
ジュリオ・デ・メディチ?(Cardinale Giulio de' Medici) （1519年 - 1523年） - 教皇（クレメンス7世）に選出されたためローマに移る
イッポーリト・デ・メディチ?(Cardinale Ippolito de' Medici) （1523年 - 1527年） - 市民により追放
アレッサンドロ・デ・メディチ?(Alessandro de' Medici) （1523年 - 1527年） - 市民により追放
アレッサンドロ・デ・メディチ (Alessandro de' Medici) （1530年 - 1532年） - ドイツの支援でフィレンツェに復帰、1532年にフィレンツェ公爵に封じられる
アレッサンドロ・デ・メディチ?(Alessandro de' Medici) （1531年 - 1537年） - 暗殺される
コジモ1世・デ・メディチ?(Cosimo I de' Medici) （1537年 - 1569年） - 1569年にトスカーナ大公になる
コジモ1世・デ・メディチ (Cosimo I de' Medici) （1569年 - 1574年） - 退位
フランチェスコ1世・デ・メディチ?Francesco I de' Medici) （1574年 - 1587年）
フェルディナンド1世・デ・メディチ?(Ferdinando I de' Medici) （1587年 - 1609年）
コジモ2世・デ・メディチ?(Cosimo II de' Medici) （1609年 - 1621年）
フェルディナンド2世・デ・メディチ?(Ferdinando II de' Medici) （1621年 - 1670年）
コジモ3世・デ・メディチ?(Cosimo III de' Medici) （1670年 - 1723年）
ジャン・ガストーネ・デ・メディチ?(Gian Gastone de' Medici) （1723年 - 1737年）
フランチェスコ・ステーファノ?(Francesco Stefano) （1737年 - 1765年） - 神聖ローマ皇帝となる
ピエトロ・レオポルド?(Pietro Leopoldo) （1765年 - 1790年） - 神聖ローマ皇帝となる
フェルディナンド3世?(Ferdinando III) （1790年 - 1801年） - ナポレオンの侵略による追放
ルイージ?(Luigi)（1801年 - 1803年）
カルロ・ルイージ?(Carlo Luigi) （1803年 - 1807年）
エリザ・ボナパルト?(Elisa Bonaparte Baciocchi) （1809年 - 1814年）
フェルディナンド3世（復位）（1814年?-?1824年）
レオポルド2世?(Leopoldo II)（1824年 -?1848年）
レオポルド2世（復位）（1849年 -?1859年）
フェルディナンド4世?(Ferdinando IV) （1859年 -?1860年）
"グリエルモ1世（Guglielmo I Braccio di Ferro, 1043年 - 1046年）"
"ドラゴーネ（Dragone, 1046年 - 1051年）"
"ウンフレード（Umfredo, 1051年 - 1057年）"
"ロベルト・イル・グイスカルド（Roberto il Guiscardo, 1057年 - 1059年）"
"ロベルト・イル・グイスカルド（Roberto il Guiscardo, 1059年 - 1085年）"
"ルッジェーロ・ボルサ（Ruggero Borsa, 1085年 - 1111年）"
"グリエルモ2世（Guglielmo II, 1111年 - 1127年）"
"ルッジェーロ2世（Ruggero II, 1127年 - 1130年）"
"ルッジェーロ1世（Ruggero I, 1071年 - 1101年）"
"シモーネ（Simone, 1101年 - 1105年）"
"ルッジェーロ2世（Ruggero II, 1105年 - 1130年）"
"ルッジェーロ2世（Ruggero II,?1130年?-?1154年）　南イタリア全域を征服し、その国境線は7世紀にわたって固定された。"
"グリエルモ1世（Guglielmo I?il malo, 1154年 -?1166年）"
"グリエルモ2世（Guglielmo I?il buono, 1166年 -?1189年）"
"タンクレーディ（Tancredi, 1189年 -?1194年）"
"ルッジェーロ3世（Ruggero III,?1193年）"
"グリエルモ3世（Guglielmo III, 1194年）"
"コスタンツァ（Costanza di Sicilia, 1194年 -?1198年）　神聖ローマ皇帝ハインリヒ6世（エンリーコ）と結婚"
"エンリーコ（Enrico, 1194年 -?1197年）"
"フェデリーコ1世（Federico II, 1198年 -?1250年）"
"コッラード（Corrado, 1250年 -?1254年）"
"コッラディーノ（Corradino, 1254年 -?1258年/1268年）"
"マンフレーディ（Manfredi, 1258年 -?1266年）"
"カルロ1世（Carlo I, 1266年 - 1282年）　首都をパレルモからナポリに移した。"
"カルロ1世（Carlo I, 1266年 - 1285年）　1282年にシチリアを失った。"
"カルロ2世（Carlo II, 1285年 -?1309年）"
"ロベルト（Roberto, 1309年 - 1343年）"
"ジョヴァンナ1世（Giovanna I, 1343年 - 1382年）"
"カルロ3世（Carlo III, 1382年 - 1386年）"
"ラディズラーオ1世（Ladislao I, 1386年 - 1414年）　1389年から1399年までルイージ2世に取って代わられた。"
"ジョヴァンナ2世（Giovanna II, 1414年 - 1435年）"
"ルイージ1世（Luigi I, 1382年 - 1384年）　対立王"
